Forage: 5, 8, 9, 13, 7, 6, 9, 8, 8, 8, 4, 7
Forage: 4, 11, 8, 3, 0, 1, 1, 0, 5, 4, 2, 2
Forage: 4, 8, 6, 6, 8, 7, 4, 8, 6, 7, 2, 7
Forage: 13, 5, 12, 10, 7, 5, 10, 7, 3, 8, 5, 8
Forage: 6, 3, 7, 5, 8, 8, 4, 7, 7, 8, 7, 6
Forage: 6, 5, 10, 5, 11, 5, 5, 4, 4, 8, 11, 11
Forage: 6, 5, 10, 5, 11, 5, 5, 4, 4, 8, 11, 11
Forage: 7, 4, 12, 9, 5, 6, 7, 8, 7, 8, 6, 6
Forage: 5, 6, 9, 8, 5, 4, 6, 9, 6, 5, 10, 3
Forage: 5, 8, 8, 10, 9, 7, 10, 10, 9, 12, 10, 7
Forage: 7, 6, 6, 6, 5, 13, 8, 4, 8, 12, 4, 10
Forage: 3, 6, 8, 8, 3, 9, 7, 2, 3, 3, 2, 3
Forage: 4, 5, 8, 9, 6, 5, 10, 9, 3, 7, 5, 7
Forage: 4, 5, 8, 6, 7, 8, 7, 11, 7, 5, 7, 8
Forage: 6, 2, 9, 5, 11, 7, 4, 5, 9, 5, 6, 6
Forage: 5, 6, 8, 7, 6, 7, 7, 5, 9, 6, 9, 4
Forage: 4, 6, 6, 8, 8, 5, 3, 3, 6, 4, 8, 5
Forage: 13, 6, 10, 8, 7, 9, 6, 10, 7, 6, 7, 3
Forage: 2, 4, 9, 9, 6, 7, 7, 6, 5, 10, 9, 6
Forage: 6, 5, 7, 7, 4, 8, 7, 4, 5, 6, 5, 8
Forage: 4, 8, 7, 7, 8, 5, 3, 4, 2, 5, 3, 5
Forage: 8, 6, 7, 7, 6, 9, 7, 8, 5, 5, 4, 7
Forage: 5, 3, 10, 5, 7, 5, 3, 7, 11, 4, 4, 2
Forage: 4, 3, 8, 13, 5, 6, 8, 5, 6, 5, 9, 7
Forage: 5, 7, 9, 6, 9, 9, 9, 4, 6, 6, 5, 2
Forage: 11, 5, 8, 7, 7, 5, 11, 8, 8, 4, 3, 3
Forage: 7, 7, 8, 6, 10, 8, 9, 7, 5, 3, 10, 8
Forage: 11, 9, 5, 8, 6, 7, 5, 4, 7, 3, 5, 9
Forage: 5, 8, 8, 9, 5, 6, 5, 7, 9, 10, 5, 9
Forage: 9, 7, 5, 6, 9, 3, 7, 7, 10, 8, 4, 6
Forage: 5, 4, 6, 5, 5, 3, 8, 1, 5, 6, 5, 6
Forage: 7, 9, 9, 6, 9, 6, 11, 9, 5, 7, 10, 4
Forage: 9, 8, 8, 5, 6, 3, 3, 2, 3, 3, 9, 2
Forage: 11, 10, 10, 3, 6, 4, 4, 5, 6, 9, 11, 7
Forage: 7, 7, 7, 4, 13, 5, 5, 4, 6, 5, 9, 6
Forage: 3, 6, 11, 5, 11, 10, 5, 13, 6, 4, 8, 5
Forage: 5, 3, 5, 2, 6, 9, 6, 6, 5, 8, 6, 4
Forage: 3, 5, 5, 8, 6, 10, 8, 5, 11, 4, 8, 4
Forage: 5, 3, 10, 12, 11, 6, 7, 8, 11, 7, 7, 6
Forage: 3, 3, 9, 7, 9, 7, 7, 3, 10, 5, 3, 5
Forage: 5, 7, 8, 6, 5, 1, 4, 3, 3, 3, 5, 4
Forage: 3, 6, 8, 6, 6, 5, 5, 6, 6, 7, 5, 7
Forage: 4, 7, 9, 5, 8, 9, 10, 8, 6, 5, 10, 5
Forage: 7, 3, 8, 9, 4, 6, 5, 9, 8, 6, 8, 7
Forage: 3, 6, 8, 7, 4, 5, 5, 6, 9, 8, 7, 3
Forage: 5, 7, 6, 7, 11, 5, 9, 8, 9, 8, 8, 7
Forage: 3, 4, 10, 7, 6, 8, 7, 5, 5, 5, 5, 7
Forage: 5, 9, 3, 8, 8, 6, 3, 5, 7, 8, 6, 6
Forage: 5, 6, 4, 4, 10, 8, 6, 8, 7, 10, 8, 8
Forage: 2, 6, 6, 3, 8, 4, 5, 6, 5, 7, 6, 10
Forage: 2, 2, 7, 4, 3, 3, 4, 6, 10, 7, 5, 4
Forage: 6, 7, 9, 5, 5, 8, 9, 8, 5, 7, 4, 4
Forage: 7, 6, 7, 6, 7, 3, 4, 7, 4, 9, 6, 10
Forage: 6, 8, 5, 8, 4, 7, 6, 10, 4, 6, 2, 5
Forage: 8, 6, 5, 10, 8, 4, 4, 4, 1, 3, 1, 4
Forage: 4, 4, 8, 9, 6, 9, 5, 5, 7, 5, 5, 7
