tags_collected, collisions_in_seconds, time_in_minutes, random_seed
149, 493.297, 12, 40
130, 453.375, 12, 41
143, 451.875, 12, 42
146, 514.5, 12, 43
139, 470.031, 12, 44
133, 513.266, 12, 45
167, 627.156, 12, 46
158, 619.641, 12, 47
119, 1276.78, 12, 48
145, 491.297, 12, 49
147, 479.047, 12, 50
155, 502.625, 12, 549459
159, 530.969, 12, 812256
151, 500.391, 12, 1
147, 470.422, 12, 2
138, 470.109, 12, 3
149, 558.922, 12, 4
146, 475.234, 12, 5
145, 888.719, 12, 6
146, 480.906, 12, 7
160, 538.578, 12, 8
135, 459.203, 12, 9
135, 564.953, 12, 10
144, 498.359, 12, 11
150, 607.719, 12, 12
167, 535.297, 12, 13
140, 526.922, 12, 14
145, 512.641, 12, 15
156, 651.125, 12, 16
143, 586.188, 12, 17
132, 411.844, 12, 18
147, 472, 12, 19
155, 596.719, 12, 20
144, 519.016, 12, 21
53, 2985.25, 12, 22
141, 451.156, 12, 23
162, 506.703, 12, 24
146, 553.516, 12, 25
159, 621.406, 12, 26
157, 509.859, 12, 27
65, 2975.17, 12, 28
138, 502.922, 12, 29
145, 501.156, 12, 30
138, 520.625, 12, 31
138, 523.188, 12, 32
148, 521.156, 12, 33
137, 551.094, 12, 34
95, 1937.27, 12, 35
129, 489.328, 12, 36
149, 502.531, 12, 37
145, 458.656, 12, 38
151, 475.641, 12, 39
146, 488.266, 12, 40
137, 472.453, 12, 41
138, 384.062, 12, 42
134, 597.453, 12, 43
141, 451.438, 12, 44
95, 1916.19, 12, 45
155, 568.328, 12, 46
164, 540.297, 12, 47
136, 515.703, 12, 48
144, 464, 12, 49
147, 544.453, 12, 50
60, 2813.05, 12, 337205
154, 579.484, 12, 347621
152, 506.594, 12, 405902
154, 568.469, 12, 1
149, 620.922, 12, 2
144, 436.5, 12, 3
158, 518.266, 12, 4
144, 477.672, 12, 5
151, 489.094, 12, 6
142, 505.844, 12, 7
147, 658.141, 12, 8
145, 513.891, 12, 9
143, 499.188, 12, 10
141, 494.25, 12, 11
152, 569.5, 12, 12
164, 589.875, 12, 13
145, 520.062, 12, 14
141, 442.531, 12, 15
153, 543.312, 12, 16
141, 497.828, 12, 17
136, 401.422, 12, 18
148, 453.156, 12, 19
158, 561.656, 12, 20
144, 523, 12, 21
137, 1097.83, 12, 22
139, 513.281, 12, 23
157, 517.781, 12, 24
147, 556.984, 12, 25
173, 598.938, 12, 26
150, 575.938, 12, 27
67, 2842.47, 12, 28
139, 596.938, 12, 29
139, 490.156, 12, 30
140, 504.359, 12, 31
148, 459.688, 12, 32
147, 591.156, 12, 33
136, 448.672, 12, 34
137, 559.109, 12, 35
136, 509.969, 12, 36
150, 542.172, 12, 37
141, 440.781, 12, 38
146, 499.438, 12, 39
152, 441.266, 12, 40
130, 446.469, 12, 41
142, 446.609, 12, 42
143, 489.562, 12, 43
143, 457.453, 12, 44
142, 530.094, 12, 45
157, 698.953, 12, 46
141, 1233.88, 12, 47
133, 482.969, 12, 48
158, 528.922, 12, 49
145, 529.609, 12, 50
154, 619.672, 12, 516071
112, 1933.23, 12, 1
143, 614.516, 12, 2
91, 1716.16, 12, 3
159, 531.172, 12, 4
140, 453.172, 12, 5
100, 1949.47, 12, 6
144, 436.391, 12, 7
158, 514.156, 12, 8
139, 484.781, 12, 9
152, 485.141, 12, 10
139, 473.75, 12, 11
154, 592.328, 12, 12
156, 677.922, 12, 13
141, 568.781, 12, 14
127, 596.609, 12, 15
149, 529.203, 12, 16
141, 620.422, 12, 17
85, 1952.33, 12, 18
145, 483.078, 12, 19
149, 492.125, 12, 20
143, 518.047, 12, 21
155, 540.688, 12, 22
142, 438.797, 12, 23
155, 605.719, 12, 24
141, 697.516, 12, 25
149, 655.734, 12, 26
158, 592.016, 12, 27
66, 2872.53, 12, 28
162, 564.172, 12, 29
146, 462.062, 12, 30
136, 479.062, 12, 31
146, 566.797, 12, 32
136, 1126.34, 12, 33
132, 556.25, 12, 34
132, 578.797, 12, 35
137, 529.828, 12, 36
153, 548.297, 12, 37
138, 549.547, 12, 38
145, 564.406, 12, 39
148, 445.859, 12, 40
131, 490.422, 12, 41
138, 500.297, 12, 42
157, 534.641, 12, 43
144, 471.438, 12, 44
90, 2010.83, 12, 45
160, 554.266, 12, 46
156, 567.484, 12, 47
139, 488.438, 12, 48
155, 488.609, 12, 49
138, 499.516, 12, 50
146, 508.172, 12, 1
145, 511.781, 12, 2
140, 505.938, 12, 3
146, 575.062, 12, 4
147, 443.906, 12, 5
142, 491.422, 12, 6
147, 498, 12, 7
88, 2172.84, 12, 8
139, 479.578, 12, 9
144, 516.156, 12, 10
149, 485.688, 12, 11
160, 642.859, 12, 12
158, 686.531, 12, 13
137, 554.969, 12, 14
145, 510.906, 12, 15
130, 1168.16, 12, 16
129, 1169.33, 12, 17
131, 513.844, 12, 18
148, 497.781, 12, 19
144, 535.703, 12, 20
140, 478.844, 12, 21
55, 2845, 12, 22
133, 462.094, 12, 23
153, 544.5, 12, 24
155, 582.156, 12, 25
160, 667.719, 12, 26
150, 559.781, 12, 27
88, 2686.42, 12, 28
147, 391.203, 12, 29
140, 476.891, 12, 30
138, 705.188, 12, 31
129, 448.625, 12, 32
150, 557.75, 12, 33
144, 487.391, 12, 34
134, 662.359, 12, 35
132, 517.781, 12, 36
145, 537.453, 12, 37
138, 432.812, 12, 38
145, 564.672, 12, 39
142, 596.109, 12, 40
138, 443.672, 12, 41
134, 520, 12, 42
144, 497.828, 12, 43
133, 428.141, 12, 44
135, 490.5, 12, 45
163, 645.562, 12, 46
155, 653.531, 12, 47
137, 509.188, 12, 48
150, 540.375, 12, 49
136, 590.781, 12, 50
88, 2345.64, 12, 1
142, 560.484, 12, 2
116, 1164.02, 12, 3
158, 502.641, 12, 4
146, 475.969, 12, 5
146, 475.469, 12, 6
142, 507.438, 12, 7
158, 573.281, 12, 8
130, 424.906, 12, 9
145, 481.078, 12, 10
146, 620.75, 12, 11
150, 553.641, 12, 12
167, 611.781, 12, 13
134, 567.688, 12, 14
144, 492.766, 12, 15
146, 530.609, 12, 16
148, 510.781, 12, 17
139, 412.266, 12, 18
147, 485.516, 12, 19
137, 832.469, 12, 20
148, 481.969, 12, 21
146, 506.969, 12, 22
142, 483.438, 12, 23
165, 521.734, 12, 24
145, 580.828, 12, 25
153, 642.844, 12, 26
145, 552.828, 12, 27
77, 2822.92, 12, 28
140, 515.625, 12, 29
129, 439.266, 12, 30
147, 489.734, 12, 31
145, 466.922, 12, 32
151, 527.297, 12, 33
143, 520.016, 12, 34
133, 480.719, 12, 35
131, 504.516, 12, 36
152, 492.109, 12, 37
136, 540.938, 12, 38
142, 493.156, 12, 39
146, 496.016, 12, 40
137, 469.188, 12, 41
146, 442.922, 12, 42
150, 461.141, 12, 43
141, 475.609, 12, 44
136, 517.469, 12, 45
153, 669.719, 12, 46
168, 551.469, 12, 47
127, 897.094, 12, 48
148, 416.391, 12, 49
139, 560.422, 12, 50
150, 575.438, 12, 931616
