tags_collected, collisions_in_seconds, time_in_minutes, random_seed
180, 818.219, 12, 44
183, 777.688, 12, 45
187, 725.297, 12, 46
179, 926.75, 12, 47
190, 758, 12, 48
181, 780.609, 12, 49
183, 867.234, 12, 50
189, 723.328, 12, 1
186, 797.453, 12, 2
174, 696.859, 12, 3
187, 733.812, 12, 4
171, 919.25, 12, 5
173, 729.312, 12, 6
183, 730.234, 12, 7
183, 805.969, 12, 8
179, 1004.23, 12, 9
183, 788.891, 12, 10
183, 773.719, 12, 11
178, 682.781, 12, 12
182, 852.109, 12, 13
170, 676.516, 12, 14
181, 868.516, 12, 15
187, 790.562, 12, 16
179, 754.188, 12, 17
187, 749.609, 12, 18
183, 641.469, 12, 19
187, 750.938, 12, 20
178, 699.016, 12, 21
188, 849.156, 12, 22
182, 735.469, 12, 23
184, 739.188, 12, 24
180, 924.734, 12, 25
181, 803.766, 12, 26
177, 901.188, 12, 27
184, 790.812, 12, 28
172, 856.5, 12, 29
182, 877.953, 12, 30
176, 772.719, 12, 31
182, 710, 12, 32
190, 720.703, 12, 33
192, 664.938, 12, 34
185, 764.562, 12, 35
186, 692.609, 12, 36
179, 742.5, 12, 37
185, 799.438, 12, 38
177, 892.562, 12, 39
179, 703.188, 12, 40
182, 955.828, 12, 41
172, 779.75, 12, 42
188, 800.203, 12, 43
171, 971.156, 12, 44
183, 836.688, 12, 45
184, 782.203, 12, 46
186, 755.266, 12, 47
185, 673.891, 12, 48
187, 699.938, 12, 49
175, 868.078, 12, 50
184, 643.781, 12, 1
174, 823.609, 12, 2
176, 785.641, 12, 3
183, 821.969, 12, 4
168, 885.328, 12, 5
176, 702, 12, 6
175, 904.391, 12, 7
182, 896.422, 12, 8
176, 985.203, 12, 9
183, 760.531, 12, 10
185, 778.734, 12, 11
175, 828.203, 12, 12
186, 704.469, 12, 13
180, 660.547, 12, 14
177, 783.609, 12, 15
179, 874.203, 12, 16
175, 714.484, 12, 17
174, 784.281, 12, 18
179, 765.953, 12, 19
174, 726.312, 12, 20
186, 652.766, 12, 21
178, 885.469, 12, 22
188, 793.781, 12, 23
179, 742.406, 12, 24
176, 872.016, 12, 25
172, 914.359, 12, 26
185, 684.25, 12, 27
182, 737.219, 12, 28
173, 704.906, 12, 29
180, 756.25, 12, 30
178, 682.625, 12, 31
189, 706.656, 12, 32
184, 646.359, 12, 33
179, 759.109, 12, 34
179, 927.078, 12, 35
184, 813.578, 12, 36
184, 685.312, 12, 37
185, 721.188, 12, 38
176, 766.641, 12, 39
176, 871.812, 12, 40
174, 847.656, 12, 41
188, 610.188, 12, 42
190, 701.328, 12, 43
183, 838.094, 12, 44
181, 848.438, 12, 45
180, 760.797, 12, 46
184, 707.188, 12, 47
180, 784.156, 12, 48
180, 681.859, 12, 49
177, 890.25, 12, 50
186, 699, 12, 1
176, 824.453, 12, 2
178, 780.297, 12, 3
180, 829.859, 12, 4
186, 765.609, 12, 5
170, 682.016, 12, 6
181, 902.297, 12, 7
178, 771.953, 12, 8
181, 878.266, 12, 9
185, 786.688, 12, 10
183, 826.406, 12, 11
181, 777.844, 12, 12
188, 791.891, 12, 13
178, 677.125, 12, 14
175, 906.219, 12, 15
181, 723.484, 12, 16
180, 707.922, 12, 17
178, 836.141, 12, 18
175, 753.109, 12, 19
179, 842.469, 12, 20
171, 938.312, 12, 21
184, 814.25, 12, 22
186, 756.703, 12, 23
176, 776.75, 12, 24
183, 908.766, 12, 25
187, 768.594, 12, 26
182, 826.938, 12, 27
186, 901.734, 12, 28
175, 823.766, 12, 29
183, 796.406, 12, 30
179, 833.906, 12, 31
177, 792.953, 12, 32
186, 682.797, 12, 33
172, 948.125, 12, 34
185, 892.469, 12, 35
182, 853.938, 12, 36
172, 805.062, 12, 37
180, 689.156, 12, 38
175, 879.781, 12, 39
178, 778.547, 12, 40
189, 794.703, 12, 41
176, 713.266, 12, 42
186, 808.516, 12, 43
177, 846.219, 12, 44
181, 773.469, 12, 45
186, 779.891, 12, 46
176, 738.781, 12, 47
182, 813.031, 12, 48
185, 683.016, 12, 49
164, 1041.75, 12, 50
183, 736.078, 12, 1
180, 905.828, 12, 2
183, 703.125, 12, 3
176, 778.375, 12, 4
178, 836.141, 12, 5
177, 609.562, 12, 6
188, 773.156, 12, 7
184, 799.047, 12, 8
179, 839.25, 12, 9
181, 793.719, 12, 10
186, 729.062, 12, 11
187, 684.328, 12, 12
182, 861.969, 12, 13
176, 776.562, 12, 14
185, 838.625, 12, 15
181, 763.031, 12, 16
178, 725.859, 12, 17
184, 921.359, 12, 18
183, 683.797, 12, 19
178, 793.719, 12, 20
180, 778.219, 12, 21
177, 997.344, 12, 22
177, 722.688, 12, 23
181, 683.047, 12, 24
190, 800.875, 12, 25
174, 896.438, 12, 26
185, 697.172, 12, 27
169, 977.422, 12, 28
178, 627.406, 12, 29
178, 800.484, 12, 30
179, 795.688, 12, 31
183, 752.797, 12, 32
186, 765.125, 12, 33
172, 771.953, 12, 34
176, 817.578, 12, 35
179, 862.828, 12, 36
172, 882.734, 12, 37
185, 663.75, 12, 38
186, 771.297, 12, 39
180, 790.391, 12, 40
182, 853.312, 12, 41
182, 665.094, 12, 42
183, 693.438, 12, 43
178, 860.641, 12, 44
188, 749.344, 12, 45
177, 739.781, 12, 46
183, 744.234, 12, 47
179, 836.781, 12, 48
179, 856.109, 12, 49
181, 716.969, 12, 50
178, 808.969, 12, 1
182, 843.906, 12, 2
177, 766.219, 12, 3
183, 848.688, 12, 4
183, 714.875, 12, 5
179, 615.031, 12, 6
177, 782.562, 12, 7
183, 741.281, 12, 8
186, 868.328, 12, 9
188, 873.578, 12, 10
185, 764.078, 12, 11
181, 641.438, 12, 12
182, 803.406, 12, 13
175, 816.438, 12, 14
185, 791.016, 12, 15
185, 833.484, 12, 16
178, 772.094, 12, 17
185, 800.656, 12, 18
176, 766.656, 12, 19
174, 993.5, 12, 20
185, 695.094, 12, 21
185, 732.547, 12, 22
184, 689.75, 12, 23
184, 663.281, 12, 24
186, 811.922, 12, 25
177, 899.891, 12, 26
182, 802.859, 12, 27
174, 819.781, 12, 28
173, 754.594, 12, 29
181, 839.969, 12, 30
181, 730.266, 12, 31
188, 774.156, 12, 32
185, 762.609, 12, 33
175, 765.562, 12, 34
182, 785.453, 12, 35
180, 738.062, 12, 36
184, 679.859, 12, 37
178, 656.469, 12, 38
191, 717.125, 12, 39
180, 804.938, 12, 40
185, 784.812, 12, 41
178, 738.656, 12, 42
180, 868.062, 12, 43
184, 798.609, 12, 44
184, 695.766, 12, 45
186, 778.438, 12, 46
177, 954.609, 12, 47
185, 741.703, 12, 48
174, 875.438, 12, 49
176, 880.547, 12, 50
183, 779.828, 12, 644823
173, 907.016, 12, 506689
191, 757.609, 12, 181321
