Forage: 17, 17, 12, 11, 8, 12, 11, 10, 6, 9, 7, 10
Forage: 14, 15, 12, 17, 19, 7, 16, 11, 11, 12, 8, 10
Forage: 13, 23, 16, 14, 15, 13, 13, 12, 9, 12, 11, 6
Forage: 15, 16, 14, 15, 13, 11, 13, 4, 16, 4, 9, 5
Forage: 11, 20, 11, 13, 12, 18, 9, 10, 15, 9, 9, 6
Forage: 9, 22, 19, 16, 19, 12, 15, 16, 8, 10, 12, 11
Forage: 12, 16, 19, 18, 12, 12, 14, 11, 11, 13, 7, 12
Forage: 16, 15, 19, 15, 15, 13, 14, 13, 14, 10, 7, 10
Forage: 14, 19, 16, 16, 13, 11, 16, 12, 9, 11, 9, 5
Forage: 15, 17, 16, 13, 14, 9, 13, 10, 11, 13, 9, 10
Forage: 12, 17, 19, 16, 18, 9, 9, 14, 11, 6, 9, 13
Forage: 12, 16, 16, 7, 0, 2, 0, 3, 4, 2, 7, 2
Forage: 9, 19, 13, 16, 17, 11, 16, 13, 15, 11, 11, 4
Forage: 18, 24, 22, 14, 17, 11, 11, 10, 7, 10, 8, 13
Forage: 14, 16, 14, 11, 16, 10, 15, 11, 11, 9, 8, 6
Forage: 11, 16, 19, 11, 18, 14, 13, 13, 11, 10, 7, 7
Forage: 15, 13, 14, 15, 11, 15, 11, 12, 9, 11, 13, 7
Forage: 16, 18, 16, 18, 16, 17, 10, 14, 11, 11, 2, 8
Forage: 17, 20, 15, 15, 13, 12, 15, 14, 10, 7, 9, 9
Forage: 11, 18, 18, 19, 12, 12, 13, 8, 8, 14, 6, 7
Forage: 14, 15, 17, 14, 15, 14, 11, 10, 14, 13, 6, 6
Forage: 12, 17, 16, 17, 15, 17, 14, 9, 10, 10, 12, 8
Forage: 11, 13, 17, 16, 14, 14, 13, 11, 9, 17, 6, 12
Forage: 24, 15, 14, 14, 14, 16, 12, 11, 11, 13, 10, 7
Forage: 10, 15, 15, 13, 12, 16, 10, 13, 12, 11, 7, 7
Forage: 15, 13, 18, 15, 16, 13, 15, 11, 12, 10, 9, 9
Forage: 16, 15, 14, 14, 15, 15, 13, 9, 12, 13, 7, 5
