score,time_seconds,seed
199.000000, 720.000000, 1
197.000000, 720.000000, 2
184.000000, 720.000000, 3
198.000000, 720.000000, 4
199.000000, 720.000000, 5
187.000000, 720.000000, 6
194.000000, 720.000000, 7
198.000000, 720.000000, 8
188.000000, 720.000000, 9
198.000000, 720.000000, 10
199.000000, 720.000000, 11
192.000000, 720.000000, 12
202.000000, 720.000000, 13
192.000000, 720.000000, 14
189.000000, 720.000000, 15
194.000000, 720.000000, 16
196.000000, 720.000000, 17
197.000000, 720.000000, 18
193.000000, 720.000000, 19
188.000000, 720.000000, 20
188.000000, 720.000000, 21
193.000000, 720.000000, 22
192.000000, 720.000000, 23
187.000000, 720.000000, 24
193.000000, 720.000000, 25
197.000000, 720.000000, 26
194.000000, 720.000000, 27
188.000000, 720.000000, 28
191.000000, 720.000000, 29
201.000000, 720.000000, 30
190.000000, 720.000000, 31
191.000000, 720.000000, 32
189.000000, 720.000000, 33
191.000000, 720.000000, 34
200.000000, 720.000000, 35
197.000000, 720.000000, 36
192.000000, 720.000000, 37
181.000000, 720.000000, 38
196.000000, 720.000000, 39
186.000000, 720.000000, 40
203.000000, 720.000000, 41
193.000000, 720.000000, 42
191.000000, 720.000000, 43
200.000000, 720.000000, 44
192.000000, 720.000000, 45
195.000000, 720.000000, 46
193.000000, 720.000000, 47
199.000000, 720.000000, 48
190.000000, 720.000000, 49
198.000000, 720.000000, 50
