distribution,cpfa_4min_mean,cpfa_8min_mean,cpfa_12min_mean,ahcfa_4min_mean,ahcfa_8min_mean,ahcfa_12min_mean,4min_improvement_percent,8min_improvement_percent,12min_improvement_percent
Random,81.20192307692308,143.77884615384616,193.54807692307693,81.72277227722772,143.87128712871288,193.82178217821783,0.6414247108547357,0.06429386334607605,0.1414146084487716
Powerlaw,60.75728155339806,109.35922330097087,146.2233009708738,61.396039603960396,108.38613861386139,143.05940594059405,1.0513275680396417,-0.8898057774527355,-2.163742036510284
Clustered,24.615384615384617,50.26923076923077,72.76923076923077,25.72897196261682,51.345794392523366,75.74766355140187,4.523948598130831,2.141595578087804,4.092983738712924
