score,time_seconds,seed
108.000000, 720.000000, 1
125.000000, 720.000000, 2
129.000000, 720.000000, 3
74.000000, 720.000000, 4
72.000000, 720.000000, 5
102.000000, 720.000000, 6
99.000000, 720.000000, 7
86.000000, 720.000000, 8
122.000000, 720.000000, 9
81.000000, 720.000000, 10
110.000000, 720.000000, 11
84.000000, 720.000000, 12
85.000000, 720.000000, 13
66.000000, 720.000000, 14
129.000000, 720.000000, 15
80.000000, 720.000000, 16
107.000000, 720.000000, 17
129.000000, 720.000000, 18
74.000000, 720.000000, 19
104.000000, 720.000000, 20
79.000000, 720.000000, 21
81.000000, 720.000000, 22
62.000000, 720.000000, 23
82.000000, 720.000000, 24
74.000000, 720.000000, 25
104.000000, 720.000000, 26
87.000000, 720.000000, 27
71.000000, 720.000000, 28
86.000000, 720.000000, 29
61.000000, 720.000000, 30
92.000000, 720.000000, 31
77.000000, 720.000000, 32
74.000000, 720.000000, 33
92.000000, 720.000000, 34
105.000000, 720.000000, 35
114.000000, 720.000000, 36
112.000000, 720.000000, 37
72.000000, 720.000000, 38
87.000000, 720.000000, 39
101.000000, 720.000000, 40
105.000000, 720.000000, 41
67.000000, 720.000000, 42
73.000000, 720.000000, 43
109.000000, 720.000000, 44
124.000000, 720.000000, 45
67.000000, 720.000000, 46
89.000000, 720.000000, 47
105.000000, 720.000000, 48
79.000000, 720.000000, 49
103.000000, 720.000000, 50
