algorithm,distribution,score,time_seconds,seed
CPFA,Powerlaw,128.000000, 720.000000, 36
CPFA,Powerlaw,153.000000, 720.000000, 37
CPFA,Powerlaw,132.000000, 720.000000, 38
CPFA,Powerlaw,144.000000, 720.000000, 39
CPFA,Powerlaw,138.000000, 720.000000, 40
CPFA,Powerlaw,139.000000, 720.000000, 41
CPFA,Powerlaw,149.000000, 720.000000, 42
CPFA,Powerlaw,148.000000, 720.000000, 43
CPFA,Powerlaw,142.000000, 720.000000, 44
CPFA,Powerlaw,130.000000, 720.000000, 45
CPFA,Powerlaw,162.000000, 720.000000, 46
CPFA,Powerlaw,159.000000, 720.000000, 47
CPFA,Powerlaw,137.000000, 720.000000, 48
CPFA,Powerlaw,143.000000, 720.000000, 49
CPFA,Powerlaw,135.000000, 720.000000, 50
AHCFA,Powerlaw,88.000000, 720.000000, 1
AHCFA,Powerlaw,142.000000, 720.000000, 2
AHCFA,Powerlaw,116.000000, 720.000000, 3
AHCFA,Powerlaw,158.000000, 720.000000, 4
AHCFA,Powerlaw,146.000000, 720.000000, 5
AHCFA,Powerlaw,146.000000, 720.000000, 6
AHCFA,Powerlaw,142.000000, 720.000000, 7
AHCFA,Powerlaw,158.000000, 720.000000, 8
AHCFA,Powerlaw,130.000000, 720.000000, 9
AHCFA,Powerlaw,145.000000, 720.000000, 10
AHCFA,Powerlaw,146.000000, 720.000000, 11
AHCFA,Powerlaw,150.000000, 720.000000, 12
AHCFA,Powerlaw,167.000000, 720.000000, 13
AHCFA,Powerlaw,134.000000, 720.000000, 14
AHCFA,Powerlaw,144.000000, 720.000000, 15
AHCFA,Powerlaw,146.000000, 720.000000, 16
AHCFA,Powerlaw,148.000000, 720.000000, 17
AHCFA,Powerlaw,139.000000, 720.000000, 18
AHCFA,Powerlaw,147.000000, 720.000000, 19
AHCFA,Powerlaw,137.000000, 720.000000, 20
AHCFA,Powerlaw,148.000000, 720.000000, 21
AHCFA,Powerlaw,146.000000, 720.000000, 22
AHCFA,Powerlaw,142.000000, 720.000000, 23
AHCFA,Powerlaw,165.000000, 720.000000, 24
AHCFA,Powerlaw,145.000000, 720.000000, 25
AHCFA,Powerlaw,153.000000, 720.000000, 26
AHCFA,Powerlaw,145.000000, 720.000000, 27
AHCFA,Powerlaw,77.000000, 720.000000, 28
AHCFA,Powerlaw,140.000000, 720.000000, 29
AHCFA,Powerlaw,129.000000, 720.000000, 30
AHCFA,Powerlaw,147.000000, 720.000000, 31
AHCFA,Powerlaw,145.000000, 720.000000, 32
AHCFA,Powerlaw,151.000000, 720.000000, 33
AHCFA,Powerlaw,143.000000, 720.000000, 34
AHCFA,Powerlaw,133.000000, 720.000000, 35
AHCFA,Powerlaw,131.000000, 720.000000, 36
AHCFA,Powerlaw,152.000000, 720.000000, 37
AHCFA,Powerlaw,136.000000, 720.000000, 38
AHCFA,Powerlaw,142.000000, 720.000000, 39
AHCFA,Powerlaw,146.000000, 720.000000, 40
AHCFA,Powerlaw,137.000000, 720.000000, 41
AHCFA,Powerlaw,146.000000, 720.000000, 42
AHCFA,Powerlaw,150.000000, 720.000000, 43
AHCFA,Powerlaw,141.000000, 720.000000, 44
AHCFA,Powerlaw,136.000000, 720.000000, 45
AHCFA,Powerlaw,153.000000, 720.000000, 46
AHCFA,Powerlaw,168.000000, 720.000000, 47
AHCFA,Powerlaw,127.000000, 720.000000, 48
AHCFA,Powerlaw,148.000000, 720.000000, 49
AHCFA,Powerlaw,139.000000, 720.000000, 50
CPFA,Clustered,79.000000, 720.000000, 1
CPFA,Clustered,78.000000, 720.000000, 2
CPFA,Clustered,80.000000, 720.000000, 3
CPFA,Clustered,84.000000, 720.000000, 4
CPFA,Clustered,87.000000, 720.000000, 5
CPFA,Clustered,55.000000, 720.000000, 6
CPFA,Clustered,87.000000, 720.000000, 7
CPFA,Clustered,42.000000, 720.000000, 8
CPFA,Clustered,71.000000, 720.000000, 9
CPFA,Clustered,75.000000, 720.000000, 10
CPFA,Clustered,77.000000, 720.000000, 11
CPFA,Clustered,77.000000, 720.000000, 12
CPFA,Clustered,70.000000, 720.000000, 13
CPFA,Clustered,74.000000, 720.000000, 14
CPFA,Clustered,73.000000, 720.000000, 15
CPFA,Clustered,83.000000, 720.000000, 16
CPFA,Clustered,30.000000, 720.000000, 17
CPFA,Clustered,73.000000, 720.000000, 18
CPFA,Clustered,74.000000, 720.000000, 19
CPFA,Clustered,76.000000, 720.000000, 20
CPFA,Clustered,80.000000, 720.000000, 21
CPFA,Clustered,56.000000, 720.000000, 22
