distribution,algorithm,seed,minute,cumulative_score,minute_score
Random,AHCFA,22,1,11,11
Random,AHCFA,22,2,19,8
Random,AHCFA,22,3,25,6
Random,AHCFA,22,4,33,8
Random,AHCFA,22,5,37,4
Random,AHCFA,22,6,39,2
Random,AHCFA,22,7,44,5
Random,AHCFA,22,8,50,6
Random,AHCFA,22,9,54,4
Random,AHCFA,22,10,56,2
Random,AHCFA,22,11,60,4
Random,AHCFA,22,12,66,6
Random,AHCFA,23,1,7,7
Random,AHCFA,23,2,12,5
Random,AHCFA,23,3,17,5
Random,AHCFA,23,4,22,5
Random,AHCFA,23,5,27,5
Random,AHCFA,23,6,33,6
Random,AHCFA,23,7,41,8
Random,AHCFA,23,8,45,4
Random,AHCFA,23,9,49,4
Random,AHCFA,23,10,56,7
Random,AHCFA,23,11,63,7
Random,AHCFA,23,12,67,4
Random,AHCFA,24,1,10,10
Random,AHCFA,24,2,19,9
Random,AHCFA,24,3,30,11
Random,AHCFA,24,4,38,8
Random,AHCFA,24,5,44,6
Random,AHCFA,24,6,49,5
Random,AHCFA,24,7,54,5
Random,AHCFA,24,8,59,5
Random,AHCFA,24,9,66,7
Random,AHCFA,24,10,71,5
Random,AHCFA,24,11,80,9
Random,AHCFA,24,12,88,8
Random,AHCFA,25,1,7,7
Random,AHCFA,25,2,13,6
Random,AHCFA,25,3,19,6
Random,AHCFA,25,4,23,4
Random,AHCFA,25,5,27,4
Random,AHCFA,25,6,32,5
Random,AHCFA,25,7,35,3
Random,AHCFA,25,8,38,3
Random,AHCFA,25,9,42,4
Random,AHCFA,25,10,47,5
Random,AHCFA,25,11,52,5
Random,AHCFA,25,12,58,6
Random,AHCFA,26,1,6,6
Random,AHCFA,26,2,11,5
Random,AHCFA,26,3,20,9
Random,AHCFA,26,4,26,6
Random,AHCFA,26,5,34,8
Random,AHCFA,26,6,40,6
Random,AHCFA,26,7,44,4
Random,AHCFA,26,8,56,12
Random,AHCFA,26,9,67,11
Random,AHCFA,26,10,74,7
Random,AHCFA,26,11,80,6
Random,AHCFA,26,12,92,12
Random,AHCFA,27,1,6,6
Random,AHCFA,27,2,10,4
Random,AHCFA,27,3,12,2
Random,AHCFA,27,4,19,7
Random,AHCFA,27,5,24,5
Random,AHCFA,27,6,28,4
Random,AHCFA,27,7,31,3
Random,AHCFA,27,8,34,3
Random,AHCFA,27,9,37,3
Random,AHCFA,27,10,40,3
Random,AHCFA,27,11,45,5
Random,AHCFA,27,12,50,5
Random,AHCFA,28,1,9,9
Random,AHCFA,28,2,13,4
Random,AHCFA,28,3,20,7
Random,AHCFA,28,4,24,4
Random,AHCFA,28,5,27,3
Random,AHCFA,28,6,34,7
Random,AHCFA,28,7,42,8
Random,AHCFA,28,8,49,7
Random,AHCFA,28,9,54,5
Random,AHCFA,28,10,60,6
Random,AHCFA,28,11,68,8
Random,AHCFA,28,12,74,6
Random,AHCFA,29,1,8,8
Random,AHCFA,29,2,14,6
Random,AHCFA,29,3,23,9
Random,AHCFA,29,4,31,8
Random,AHCFA,29,5,34,3
Random,AHCFA,29,6,40,6
Random,AHCFA,29,7,49,9
Random,AHCFA,29,8,52,3
Random,AHCFA,29,9,58,6
Random,AHCFA,29,10,62,4
Random,AHCFA,29,11,68,6
Random,AHCFA,29,12,75,7
Random,AHCFA,30,1,8,8
Random,AHCFA,30,2,17,9
Random,AHCFA,30,3,21,4
Random,AHCFA,30,4,27,6
Random,AHCFA,30,5,33,6
Random,AHCFA,30,6,41,8
Random,AHCFA,30,7,47,6
Random,AHCFA,30,8,48,1
Random,AHCFA,30,9,51,3
Random,AHCFA,30,10,59,8
Random,AHCFA,30,11,61,2
Random,AHCFA,30,12,68,7
Random,AHCFA,31,1,7,7
Random,AHCFA,31,2,12,5
Random,AHCFA,31,3,18,6
Random,AHCFA,31,4,20,2
Random,AHCFA,31,5,24,4
Random,AHCFA,31,6,27,3
Random,AHCFA,31,7,31,4
Random,AHCFA,31,8,35,4
Random,AHCFA,31,9,39,4
Random,AHCFA,31,10,44,5
Random,AHCFA,31,11,49,5
Random,AHCFA,31,12,53,4
Random,AHCFA,32,1,9,9
Random,AHCFA,32,2,16,7
Random,AHCFA,32,3,20,4
Random,AHCFA,32,4,24,4
Random,AHCFA,32,5,28,4
Random,AHCFA,32,6,34,6
Random,AHCFA,32,7,38,4
Random,AHCFA,32,8,43,5
Random,AHCFA,32,9,48,5
Random,AHCFA,32,10,53,5
Random,AHCFA,32,11,56,3
Random,AHCFA,32,12,62,6
Random,AHCFA,33,1,5,5
Random,AHCFA,33,2,10,5
Random,AHCFA,33,3,14,4
Random,AHCFA,33,4,22,8
Random,AHCFA,33,5,29,7
Random,AHCFA,33,6,34,5
Random,AHCFA,33,7,39,5
Random,AHCFA,33,8,43,4
Random,AHCFA,33,9,49,6
Random,AHCFA,33,10,55,6
Random,AHCFA,33,11,63,8
Random,AHCFA,33,12,71,8
Random,AHCFA,34,1,8,8
Random,AHCFA,34,2,16,8
Random,AHCFA,34,3,22,6
Random,AHCFA,34,4,24,2
Random,AHCFA,34,5,31,7
Random,AHCFA,34,6,34,3
Random,AHCFA,34,7,37,3
Random,AHCFA,34,8,41,4
Random,AHCFA,34,9,44,3
Random,AHCFA,34,10,50,6
Random,AHCFA,34,11,54,4
Random,AHCFA,34,12,60,6
Random,AHCFA,35,1,6,6
Random,AHCFA,35,2,10,4
Random,AHCFA,35,3,17,7
Random,AHCFA,35,4,20,3
Random,AHCFA,35,5,26,6
Random,AHCFA,35,6,29,3
Random,AHCFA,35,7,35,6
Random,AHCFA,35,8,37,2
Random,AHCFA,35,9,45,8
Random,AHCFA,35,10,52,7
Random,AHCFA,35,11,62,10
Random,AHCFA,35,12,66,4
Random,AHCFA,36,1,9,9
Random,AHCFA,36,2,16,7
Random,AHCFA,36,3,18,2
Random,AHCFA,36,4,27,9
Random,AHCFA,36,5,36,9
Random,AHCFA,36,6,41,5
Random,AHCFA,36,7,46,5
Random,AHCFA,36,8,50,4
Random,AHCFA,36,9,54,4
Random,AHCFA,36,10,59,5
Random,AHCFA,36,11,62,3
Random,AHCFA,36,12,63,1
Random,AHCFA,37,1,8,8
Random,AHCFA,37,2,11,3
Random,AHCFA,37,3,16,5
Random,AHCFA,37,4,17,1
Random,AHCFA,37,5,21,4
Random,AHCFA,37,6,27,6
Random,AHCFA,37,7,31,4
Random,AHCFA,37,8,37,6
Random,AHCFA,37,9,40,3
Random,AHCFA,37,10,45,5
Random,AHCFA,37,11,50,5
Random,AHCFA,37,12,54,4
Random,AHCFA,38,1,8,8
Random,AHCFA,38,2,10,2
Random,AHCFA,38,3,15,5
Random,AHCFA,38,4,21,6
Random,AHCFA,38,5,29,8
Random,AHCFA,38,6,34,5
Random,AHCFA,38,7,38,4
Random,AHCFA,38,8,42,4
Random,AHCFA,38,9,45,3
Random,AHCFA,38,10,51,6
Random,AHCFA,38,11,53,2
Random,AHCFA,38,12,63,10
Random,AHCFA,39,1,9,9
Random,AHCFA,39,2,15,6
Random,AHCFA,39,3,21,6
Random,AHCFA,39,4,27,6
Random,AHCFA,39,5,29,2
Random,AHCFA,39,6,34,5
Random,AHCFA,39,7,44,10
Random,AHCFA,39,8,46,2
Random,AHCFA,39,9,53,7
Random,AHCFA,39,10,61,8
Random,AHCFA,39,11,66,5
Random,AHCFA,39,12,71,5
Random,AHCFA,40,1,8,8
Random,AHCFA,40,2,17,9
Random,AHCFA,40,3,21,4
Random,AHCFA,40,4,24,3
Random,AHCFA,40,5,28,4
Random,AHCFA,40,6,30,2
Random,AHCFA,40,7,34,4
Random,AHCFA,40,8,40,6
Random,AHCFA,40,9,44,4
Random,AHCFA,40,10,49,5
Random,AHCFA,40,11,52,3
Random,AHCFA,40,12,56,4
Random,AHCFA,41,1,9,9
Random,AHCFA,41,2,13,4
Random,AHCFA,41,3,19,6
Random,AHCFA,41,4,22,3
Random,AHCFA,41,5,27,5
Random,AHCFA,41,6,32,5
Random,AHCFA,41,7,37,5
Random,AHCFA,41,8,47,10
Random,AHCFA,41,9,52,5
Random,AHCFA,41,10,61,9
Random,AHCFA,41,11,67,6
Random,AHCFA,41,12,73,6
Random,AHCFA,42,1,7,7
Random,AHCFA,42,2,12,5
Random,AHCFA,42,3,20,8
Random,AHCFA,42,4,24,4
Random,AHCFA,42,5,29,5
Random,AHCFA,42,6,35,6
Random,AHCFA,42,7,40,5
Random,AHCFA,42,8,45,5
Random,AHCFA,42,9,53,8
Random,AHCFA,42,10,58,5
Random,AHCFA,42,11,65,7
Random,AHCFA,42,12,65,0
Random,AHCFA,43,1,8,8
Random,AHCFA,43,2,12,4
Random,AHCFA,43,3,15,3
Random,AHCFA,43,4,19,4
Random,AHCFA,43,5,23,4
Random,AHCFA,43,6,27,4
Random,AHCFA,43,7,31,4
Random,AHCFA,43,8,36,5
Random,AHCFA,43,9,41,5
Random,AHCFA,43,10,46,5
Random,AHCFA,43,11,51,5
Random,AHCFA,43,12,56,5
Random,AHCFA,44,1,10,10
Random,AHCFA,44,2,17,7
Random,AHCFA,44,3,23,6
Random,AHCFA,44,4,28,5
Random,AHCFA,44,5,30,2
Random,AHCFA,44,6,34,4
Random,AHCFA,44,7,37,3
Random,AHCFA,44,8,42,5
Random,AHCFA,44,9,47,5
Random,AHCFA,44,10,55,8
Random,AHCFA,44,11,61,6
Random,AHCFA,44,12,67,6
Random,AHCFA,45,1,9,9
Random,AHCFA,45,2,14,5
Random,AHCFA,45,3,21,7
Random,AHCFA,45,4,26,5
Random,AHCFA,45,5,32,6
Random,AHCFA,45,6,37,5
Random,AHCFA,45,7,43,6
Random,AHCFA,45,8,45,2
Random,AHCFA,45,9,50,5
Random,AHCFA,45,10,56,6
Random,AHCFA,45,11,60,4
Random,AHCFA,45,12,66,6
Random,AHCFA,46,1,9,9
Random,AHCFA,46,2,18,9
Random,AHCFA,46,3,26,8
Random,AHCFA,46,4,30,4
Random,AHCFA,46,5,38,8
Random,AHCFA,46,6,42,4
Random,AHCFA,46,7,47,5
Random,AHCFA,46,8,49,2
Random,AHCFA,46,9,53,4
Random,AHCFA,46,10,56,3
Random,AHCFA,46,11,60,4
Random,AHCFA,46,12,67,7
Random,AHCFA,47,1,9,9
Random,AHCFA,47,2,17,8
Random,AHCFA,47,3,28,11
Random,AHCFA,47,4,37,9
Random,AHCFA,47,5,42,5
Random,AHCFA,47,6,45,3
Random,AHCFA,47,7,46,1
Random,AHCFA,47,8,52,6
Random,AHCFA,47,9,57,5
Random,AHCFA,47,10,66,9
Random,AHCFA,47,11,69,3
Random,AHCFA,47,12,73,4
Random,AHCFA,48,1,10,10
Random,AHCFA,48,2,17,7
Random,AHCFA,48,3,22,5
Random,AHCFA,48,4,31,9
Random,AHCFA,48,5,32,1
Random,AHCFA,48,6,35,3
Random,AHCFA,48,7,39,4
Random,AHCFA,48,8,43,4
Random,AHCFA,48,9,47,4
Random,AHCFA,48,10,53,6
Random,AHCFA,48,11,60,7
Random,AHCFA,48,12,67,7
Random,AHCFA,49,1,4,4
Random,AHCFA,49,2,10,6
Random,AHCFA,49,3,14,4
Random,AHCFA,49,4,18,4
Random,AHCFA,49,5,20,2
Random,AHCFA,49,6,24,4
Random,AHCFA,49,7,28,4
Random,AHCFA,49,8,32,4
Random,AHCFA,49,9,37,5
Random,AHCFA,49,10,42,5
Random,AHCFA,49,11,46,4
Random,AHCFA,49,12,50,4
Random,AHCFA,50,1,7,7
Random,AHCFA,50,2,13,6
Random,AHCFA,50,3,16,3
Random,AHCFA,50,4,20,4
Random,AHCFA,50,5,29,9
Random,AHCFA,50,6,32,3
Random,AHCFA,50,7,41,9
Random,AHCFA,50,8,49,8
Random,AHCFA,50,9,54,5
Random,AHCFA,50,10,58,4
Random,AHCFA,50,11,63,5
Random,AHCFA,50,12,65,2
Powerlaw,CPFA,1,1,6,6
Powerlaw,CPFA,1,2,15,9
Powerlaw,CPFA,1,3,20,5
Powerlaw,CPFA,1,4,31,11
Powerlaw,CPFA,1,5,37,6
Powerlaw,CPFA,1,6,47,10
Powerlaw,CPFA,1,7,60,13
Powerlaw,CPFA,1,8,69,9
Powerlaw,CPFA,1,9,71,2
Powerlaw,CPFA,1,10,79,8
Powerlaw,CPFA,1,11,84,5
Powerlaw,CPFA,1,12,90,6
Powerlaw,CPFA,2,1,10,10
Powerlaw,CPFA,2,2,18,8
Powerlaw,CPFA,2,3,20,2
Powerlaw,CPFA,2,4,24,4
Powerlaw,CPFA,2,5,30,6
Powerlaw,CPFA,2,6,33,3
Powerlaw,CPFA,2,7,42,9
Powerlaw,CPFA,2,8,54,12
Powerlaw,CPFA,2,9,63,9
Powerlaw,CPFA,2,10,74,11
Powerlaw,CPFA,2,11,87,13
Powerlaw,CPFA,2,12,95,8
Powerlaw,CPFA,3,1,9,9
Powerlaw,CPFA,3,2,22,13
Powerlaw,CPFA,3,3,28,6
Powerlaw,CPFA,3,4,33,5
Powerlaw,CPFA,3,5,38,5
Powerlaw,CPFA,3,6,42,4
Powerlaw,CPFA,3,7,46,4
Powerlaw,CPFA,3,8,51,5
Powerlaw,CPFA,3,9,59,8
Powerlaw,CPFA,3,10,69,10
Powerlaw,CPFA,3,11,83,14
Powerlaw,CPFA,3,12,90,7
Powerlaw,CPFA,4,1,7,7
Powerlaw,CPFA,4,2,16,9
Powerlaw,CPFA,4,3,21,5
Powerlaw,CPFA,4,4,27,6
Powerlaw,CPFA,4,5,31,4
Powerlaw,CPFA,4,6,34,3
Powerlaw,CPFA,4,7,42,8
Powerlaw,CPFA,4,8,48,6
Powerlaw,CPFA,4,9,56,8
Powerlaw,CPFA,4,10,61,5
Powerlaw,CPFA,4,11,66,5
Powerlaw,CPFA,4,12,74,8
Powerlaw,CPFA,5,1,9,9
Powerlaw,CPFA,5,2,16,7
Powerlaw,CPFA,5,3,23,7
Powerlaw,CPFA,5,4,32,9
Powerlaw,CPFA,5,5,36,4
Powerlaw,CPFA,5,6,39,3
Powerlaw,CPFA,5,7,44,5
Powerlaw,CPFA,5,8,47,3
Powerlaw,CPFA,5,9,54,7
Powerlaw,CPFA,5,10,61,7
Powerlaw,CPFA,5,11,72,11
Powerlaw,CPFA,5,12,81,9
Powerlaw,CPFA,6,1,7,7
Powerlaw,CPFA,6,2,16,9
Powerlaw,CPFA,6,3,21,5
Powerlaw,CPFA,6,4,30,9
Powerlaw,CPFA,6,5,38,8
Powerlaw,CPFA,6,6,42,4
Powerlaw,CPFA,6,7,46,4
Powerlaw,CPFA,6,8,53,7
Powerlaw,CPFA,6,9,63,10
Powerlaw,CPFA,6,10,74,11
Powerlaw,CPFA,6,11,83,9
Powerlaw,CPFA,6,12,93,10
Powerlaw,CPFA,7,1,6,6
Powerlaw,CPFA,7,2,11,5
Powerlaw,CPFA,7,3,17,6
Powerlaw,CPFA,7,4,20,3
Powerlaw,CPFA,7,5,28,8
Powerlaw,CPFA,7,6,32,4
Powerlaw,CPFA,7,7,37,5
Powerlaw,CPFA,7,8,40,3
Powerlaw,CPFA,7,9,45,5
Powerlaw,CPFA,7,10,49,4
Powerlaw,CPFA,7,11,51,2
Powerlaw,CPFA,7,12,63,12
Powerlaw,CPFA,8,1,4,4
Powerlaw,CPFA,8,2,11,7
Powerlaw,CPFA,8,3,12,1
Powerlaw,CPFA,8,4,16,4
Powerlaw,CPFA,8,5,23,7
Powerlaw,CPFA,8,6,30,7
Powerlaw,CPFA,8,7,34,4
Powerlaw,CPFA,8,8,42,8
Powerlaw,CPFA,8,9,45,3
Powerlaw,CPFA,8,10,49,4
Powerlaw,CPFA,8,11,53,4
Powerlaw,CPFA,8,12,54,1
Powerlaw,CPFA,9,1,11,11
Powerlaw,CPFA,9,2,25,14
Powerlaw,CPFA,9,3,34,9
Powerlaw,CPFA,9,4,41,7
Powerlaw,CPFA,9,5,49,8
Powerlaw,CPFA,9,6,53,4
Powerlaw,CPFA,9,7,57,4
Powerlaw,CPFA,9,8,61,4
Powerlaw,CPFA,9,9,69,8
Powerlaw,CPFA,9,10,78,9
Powerlaw,CPFA,9,11,88,10
Powerlaw,CPFA,9,12,97,9
Powerlaw,CPFA,10,1,8,8
Powerlaw,CPFA,10,2,14,6
Powerlaw,CPFA,10,3,20,6
Powerlaw,CPFA,10,4,24,4
Powerlaw,CPFA,10,5,30,6
Powerlaw,CPFA,10,6,35,5
Powerlaw,CPFA,10,7,40,5
Powerlaw,CPFA,10,8,52,12
Powerlaw,CPFA,10,9,62,10
Powerlaw,CPFA,10,10,73,11
Powerlaw,CPFA,10,11,83,10
Powerlaw,CPFA,10,12,93,10
Powerlaw,CPFA,11,1,8,8
Powerlaw,CPFA,11,2,18,10
Powerlaw,CPFA,11,3,25,7
Powerlaw,CPFA,11,4,28,3
Powerlaw,CPFA,11,5,35,7
Powerlaw,CPFA,11,6,40,5
Powerlaw,CPFA,11,7,49,9
Powerlaw,CPFA,11,8,61,12
Powerlaw,CPFA,11,9,71,10
Powerlaw,CPFA,11,10,78,7
Powerlaw,CPFA,11,11,87,9
Powerlaw,CPFA,11,12,96,9
Powerlaw,CPFA,12,1,9,9
Powerlaw,CPFA,12,2,19,10
Powerlaw,CPFA,12,3,25,6
Powerlaw,CPFA,12,4,29,4
Powerlaw,CPFA,12,5,35,6
Powerlaw,CPFA,12,6,38,3
Powerlaw,CPFA,12,7,43,5
Powerlaw,CPFA,12,8,51,8
Powerlaw,CPFA,12,9,62,11
Powerlaw,CPFA,12,10,79,17
Powerlaw,CPFA,12,11,86,7
Powerlaw,CPFA,12,12,92,6
Powerlaw,CPFA,13,1,6,6
Powerlaw,CPFA,13,2,15,9
Powerlaw,CPFA,13,3,23,8
Powerlaw,CPFA,13,4,25,2
Powerlaw,CPFA,13,5,32,7
Powerlaw,CPFA,13,6,41,9
Powerlaw,CPFA,13,7,46,5
Powerlaw,CPFA,13,8,50,4
Powerlaw,CPFA,13,9,53,3
Powerlaw,CPFA,13,10,57,4
Powerlaw,CPFA,13,11,68,11
Powerlaw,CPFA,13,12,77,9
Powerlaw,CPFA,14,1,7,7
Powerlaw,CPFA,14,2,18,11
Powerlaw,CPFA,14,3,22,4
Powerlaw,CPFA,14,4,26,4
Powerlaw,CPFA,14,5,29,3
Powerlaw,CPFA,14,6,33,4
Powerlaw,CPFA,14,7,35,2
Powerlaw,CPFA,14,8,39,4
Powerlaw,CPFA,14,9,42,3
Powerlaw,CPFA,14,10,47,5
Powerlaw,CPFA,14,11,54,7
Powerlaw,CPFA,14,12,57,3
Powerlaw,CPFA,15,1,8,8
Powerlaw,CPFA,15,2,20,12
Powerlaw,CPFA,15,3,33,13
Powerlaw,CPFA,15,4,40,7
Powerlaw,CPFA,15,5,45,5
Powerlaw,CPFA,15,6,54,9
Powerlaw,CPFA,15,7,60,6
Powerlaw,CPFA,15,8,65,5
Powerlaw,CPFA,15,9,69,4
Powerlaw,CPFA,15,10,75,6
Powerlaw,CPFA,15,11,82,7
Powerlaw,CPFA,15,12,90,8
Powerlaw,CPFA,16,1,5,5
Powerlaw,CPFA,16,2,9,4
Powerlaw,CPFA,16,3,16,7
Powerlaw,CPFA,16,4,20,4
Powerlaw,CPFA,16,5,24,4
Powerlaw,CPFA,16,6,28,4
Powerlaw,CPFA,16,7,34,6
Powerlaw,CPFA,16,8,39,5
Powerlaw,CPFA,16,9,43,4
Powerlaw,CPFA,16,10,50,7
Powerlaw,CPFA,16,11,54,4
Powerlaw,CPFA,16,12,58,4
Powerlaw,CPFA,17,1,9,9
Powerlaw,CPFA,17,2,17,8
Powerlaw,CPFA,17,3,26,9
Powerlaw,CPFA,17,4,35,9
Powerlaw,CPFA,17,5,46,11
Powerlaw,CPFA,17,6,58,12
Powerlaw,CPFA,17,7,70,12
Powerlaw,CPFA,17,8,78,8
Powerlaw,CPFA,17,9,88,10
Powerlaw,CPFA,17,10,91,3
Powerlaw,CPFA,17,11,96,5
Powerlaw,CPFA,17,12,96,0
Powerlaw,CPFA,18,1,8,8
Powerlaw,CPFA,18,2,21,13
Powerlaw,CPFA,18,3,30,9
Powerlaw,CPFA,18,4,42,12
Powerlaw,CPFA,18,5,52,10
Powerlaw,CPFA,18,6,66,14
Powerlaw,CPFA,18,7,77,11
Powerlaw,CPFA,18,8,89,12
Powerlaw,CPFA,18,9,98,9
Powerlaw,CPFA,18,10,107,9
Powerlaw,CPFA,18,11,114,7
Powerlaw,CPFA,18,12,123,9
Powerlaw,CPFA,19,1,10,10
Powerlaw,CPFA,19,2,25,15
Powerlaw,CPFA,19,3,39,14
Powerlaw,CPFA,19,4,45,6
Powerlaw,CPFA,19,5,56,11
Powerlaw,CPFA,19,6,59,3
Powerlaw,CPFA,19,7,60,1
Powerlaw,CPFA,19,8,60,0
Powerlaw,CPFA,19,9,63,3
Powerlaw,CPFA,19,10,66,3
Powerlaw,CPFA,19,11,67,1
Powerlaw,CPFA,19,12,71,4
Powerlaw,CPFA,20,1,6,6
Powerlaw,CPFA,20,2,13,7
Powerlaw,CPFA,20,3,22,9
Powerlaw,CPFA,20,4,30,8
Powerlaw,CPFA,20,5,40,10
Powerlaw,CPFA,20,6,46,6
Powerlaw,CPFA,20,7,57,11
Powerlaw,CPFA,20,8,68,11
Powerlaw,CPFA,20,9,77,9
Powerlaw,CPFA,20,10,84,7
Powerlaw,CPFA,20,11,90,6
Powerlaw,CPFA,20,12,102,12
Powerlaw,CPFA,21,1,6,6
Powerlaw,CPFA,21,2,12,6
Powerlaw,CPFA,21,3,17,5
Powerlaw,CPFA,21,4,20,3
Powerlaw,CPFA,21,5,26,6
Powerlaw,CPFA,21,6,38,12
Powerlaw,CPFA,21,7,46,8
Powerlaw,CPFA,21,8,52,6
Powerlaw,CPFA,21,9,59,7
Powerlaw,CPFA,21,10,60,1
Powerlaw,CPFA,21,11,65,5
Powerlaw,CPFA,21,12,69,4
Powerlaw,CPFA,22,1,8,8
Powerlaw,CPFA,22,2,19,11
Powerlaw,CPFA,22,3,29,10
Powerlaw,CPFA,22,4,32,3
Powerlaw,CPFA,22,5,37,5
Powerlaw,CPFA,22,6,42,5
Powerlaw,CPFA,22,7,50,8
Powerlaw,CPFA,22,8,55,5
Powerlaw,CPFA,22,9,59,4
Powerlaw,CPFA,22,10,63,4
Powerlaw,CPFA,22,11,65,2
Powerlaw,CPFA,22,12,71,6
Powerlaw,CPFA,23,1,6,6
Powerlaw,CPFA,23,2,13,7
Powerlaw,CPFA,23,3,18,5
Powerlaw,CPFA,23,4,27,9
Powerlaw,CPFA,23,5,39,12
Powerlaw,CPFA,23,6,50,11
Powerlaw,CPFA,23,7,60,10
Powerlaw,CPFA,23,8,72,12
Powerlaw,CPFA,23,9,86,14
Powerlaw,CPFA,23,10,96,10
Powerlaw,CPFA,23,11,106,10
Powerlaw,CPFA,23,12,114,8
Powerlaw,CPFA,24,1,6,6
Powerlaw,CPFA,24,2,13,7
Powerlaw,CPFA,24,3,19,6
Powerlaw,CPFA,24,4,26,7
Powerlaw,CPFA,24,5,29,3
Powerlaw,CPFA,24,6,34,5
Powerlaw,CPFA,24,7,36,2
Powerlaw,CPFA,24,8,40,4
Powerlaw,CPFA,24,9,41,1
Powerlaw,CPFA,24,10,46,5
Powerlaw,CPFA,24,11,49,3
Powerlaw,CPFA,24,12,55,6
Powerlaw,CPFA,25,1,8,8
Powerlaw,CPFA,25,2,15,7
Powerlaw,CPFA,25,3,20,5
Powerlaw,CPFA,25,4,24,4
Powerlaw,CPFA,25,5,31,7
Powerlaw,CPFA,25,6,35,4
Powerlaw,CPFA,25,7,39,4
Powerlaw,CPFA,25,8,45,6
Powerlaw,CPFA,25,9,48,3
Powerlaw,CPFA,25,10,55,7
Powerlaw,CPFA,25,11,61,6
Powerlaw,CPFA,25,12,67,6
Powerlaw,CPFA,26,1,5,5
Powerlaw,CPFA,26,2,12,7
Powerlaw,CPFA,26,3,19,7
Powerlaw,CPFA,26,4,26,7
Powerlaw,CPFA,26,5,27,1
Powerlaw,CPFA,26,6,35,8
Powerlaw,CPFA,26,7,37,2
Powerlaw,CPFA,26,8,41,4
Powerlaw,CPFA,26,9,45,4
Powerlaw,CPFA,26,10,52,7
Powerlaw,CPFA,26,11,55,3
Powerlaw,CPFA,26,12,60,5
Powerlaw,CPFA,27,1,7,7
Powerlaw,CPFA,27,2,13,6
Powerlaw,CPFA,27,3,19,6
Powerlaw,CPFA,27,4,22,3
Powerlaw,CPFA,27,5,28,6
Powerlaw,CPFA,27,6,36,8
Powerlaw,CPFA,27,7,45,9
Powerlaw,CPFA,27,8,53,8
Powerlaw,CPFA,27,9,61,8
Powerlaw,CPFA,27,10,77,16
Powerlaw,CPFA,27,11,90,13
Powerlaw,CPFA,27,12,99,9
Powerlaw,CPFA,28,1,8,8
Powerlaw,CPFA,28,2,12,4
Powerlaw,CPFA,28,3,16,4
Powerlaw,CPFA,28,4,19,3
Powerlaw,CPFA,28,5,24,5
Powerlaw,CPFA,28,6,32,8
Powerlaw,CPFA,28,7,45,13
Powerlaw,CPFA,28,8,59,14
Powerlaw,CPFA,28,9,68,9
Powerlaw,CPFA,28,10,81,13
Powerlaw,CPFA,28,11,91,10
Powerlaw,CPFA,28,12,101,10
Powerlaw,CPFA,29,1,8,8
Powerlaw,CPFA,29,2,17,9
Powerlaw,CPFA,29,3,25,8
Powerlaw,CPFA,29,4,31,6
Powerlaw,CPFA,29,5,36,5
Powerlaw,CPFA,29,6,39,3
Powerlaw,CPFA,29,7,45,6
Powerlaw,CPFA,29,8,49,4
Powerlaw,CPFA,29,9,55,6
Powerlaw,CPFA,29,10,59,4
Powerlaw,CPFA,29,11,64,5
Powerlaw,CPFA,29,12,68,4
Powerlaw,CPFA,30,1,9,9
Powerlaw,CPFA,30,2,22,13
Powerlaw,CPFA,30,3,30,8
Powerlaw,CPFA,30,4,34,4
Powerlaw,CPFA,30,5,38,4
Powerlaw,CPFA,30,6,43,5
Powerlaw,CPFA,30,7,46,3
Powerlaw,CPFA,30,8,55,9
Powerlaw,CPFA,30,9,61,6
Powerlaw,CPFA,30,10,75,14
Powerlaw,CPFA,30,11,85,10
Powerlaw,CPFA,30,12,94,9
Powerlaw,CPFA,31,1,7,7
Powerlaw,CPFA,31,2,15,8
Powerlaw,CPFA,31,3,20,5
Powerlaw,CPFA,31,4,23,3
Powerlaw,CPFA,31,5,26,3
Powerlaw,CPFA,31,6,33,7
Powerlaw,CPFA,31,7,37,4
Powerlaw,CPFA,31,8,40,3
Powerlaw,CPFA,31,9,46,6
Powerlaw,CPFA,31,10,50,4
Powerlaw,CPFA,31,11,57,7
Powerlaw,CPFA,31,12,66,9
Powerlaw,CPFA,32,1,6,6
Powerlaw,CPFA,32,2,19,13
Powerlaw,CPFA,32,3,21,2
Powerlaw,CPFA,32,4,29,8
Powerlaw,CPFA,32,5,36,7
Powerlaw,CPFA,32,6,43,7
Powerlaw,CPFA,32,7,54,11
Powerlaw,CPFA,32,8,64,10
Powerlaw,CPFA,32,9,70,6
Powerlaw,CPFA,32,10,76,6
Powerlaw,CPFA,32,11,78,2
Powerlaw,CPFA,32,12,82,4
Powerlaw,CPFA,33,1,9,9
Powerlaw,CPFA,33,2,17,8
Powerlaw,CPFA,33,3,25,8
Powerlaw,CPFA,33,4,32,7
Powerlaw,CPFA,33,5,35,3
Powerlaw,CPFA,33,6,38,3
Powerlaw,CPFA,33,7,43,5
Powerlaw,CPFA,33,8,48,5
Powerlaw,CPFA,33,9,52,4
Powerlaw,CPFA,33,10,55,3
Powerlaw,CPFA,33,11,57,2
Powerlaw,CPFA,33,12,63,6
Powerlaw,CPFA,34,1,8,8
Powerlaw,CPFA,34,2,15,7
Powerlaw,CPFA,34,3,22,7
Powerlaw,CPFA,34,4,27,5
Powerlaw,CPFA,34,5,32,5
Powerlaw,CPFA,34,6,35,3
